student_name,roll_number,branch,semester,attendance_pct,internal_marks,assignment_score,quiz_score,study_hours_per_week,previous_cgpa,activity_participation,final_percentage,pass_fail,grade
Nikhil Dubey,ECE20240021,ECE,6,62.6,8.6,100.0,26.3,11.9,6.02,Medium,54.55,1,C
Simran Dubey,EE20240022,EE,5,74.7,31.6,54.2,78.8,15.0,7.66,High,61.38,1,C
Deepak Das,CE20240023,CE,7,57.2,39.2,64.4,79.0,7.4,9.21,Low,69.87,1,B
Harsh Jain,CSE20240024,CSE,1,92.2,23.0,52.8,75.4,15.0,6.65,None,59.02,1,C
Vikram Chopra,CSE20240025,CSE,1,72.0,36.4,62.0,44.2,17.6,7.38,High,77.71,1,B
Megha Reddy,ME20240026,ME,3,71.8,50.0,95.7,42.5,15.7,6.79,Medium,82.9,1,A
Shruti Joshi,ME20240027,ME,7,66.1,26.7,32.4,29.6,17.7,8.03,High,51.63,1,C
Ankit Patel,ECE20240028,ECE,8,74.8,32.7,43.1,59.8,17.5,5.37,None,58.54,1,C
Nisha Singh,CE20240029,CE,4,86.9,19.1,92.3,34.2,0.0,8.14,Low,59.84,1,C
Amit Gupta,CE20240030,CE,6,56.4,30.2,84.4,32.1,19.1,8.2,Medium,66.75,1,B
Megha Saxena,ME20240031,ME,3,60.2,33.5,54.0,48.7,8.6,8.15,None,58.72,1,C
Bhavna Pillai,CE20240032,CE,4,66.5,30.3,80.8,47.2,5.2,5.01,Medium,52.84,1,C
Ritu Patel,CE20240033,CE,2,47.8,15.8,69.5,46.2,5.2,5.9,Low,41.88,1,D
Nikhil Singh,CSE20240034,CSE,6,57.3,30.5,95.0,68.3,17.5,6.63,None,65.5,1,B
Varun Singh,ME20240035,ME,2,63.4,45.5,63.6,59.7,12.2,3.73,Low,69.24,1,B
Ishita Reddy,EE20240036,EE,8,87.7,33.4,84.6,51.7,0.5,9.07,Low,71.05,1,B
Manish Thakur,ME20240037,ME,7,76.7,39.5,100.0,62.0,17.8,6.18,None,69.24,1,B
Anjali Mishra,EE20240038,EE,5,75.5,25.2,75.2,36.2,2.5,6.71,Medium,59.84,1,C
Anjali Patel,CSE20240039,CSE,6,87.3,37.0,63.1,60.3,15.1,5.16,Low,64.55,1,C
Divya Chauhan,ECE20240040,ECE,4,69.5,31.4,77.9,61.3,15.9,3.81,Low,65.12,1,B
Kavita Jain,CE20240041,CE,8,79.0,16.6,54.0,24.9,21.1,5.11,High,64.51,1,C
Rahul Gupta,CSE20240042,CSE,5,70.1,31.8,100.0,79.9,28.3,6.59,Low,72.57,1,B
Varun Pandey,CE20240043,CE,1,76.8,16.1,66.0,38.6,3.1,7.41,Low,55.5,1,C
Vivek Pillai,ECE20240044,ECE,4,61.5,20.4,56.0,60.0,13.6,6.49,Medium,50.81,1,C
Vivek Malhotra,ECE20240045,ECE,3,28.1,30.3,43.6,83.6,11.8,6.82,High,55.47,1,C
Sakshi Iyer,CSE20240046,CSE,1,69.6,31.6,86.1,78.4,17.5,5.59,None,67.3,1,B
Priya Bhatia,ECE20240047,ECE,8,97.6,13.7,81.1,58.8,15.7,7.09,Low,61.45,1,C
Rohan Singh,EE20240048,EE,1,88.7,40.6,51.1,50.0,11.2,8.87,Medium,83.13,1,A
Ankita Verma,ECE20240049,ECE,3,89.4,34.9,74.7,78.8,10.5,7.47,Low,71.15,1,B
Rohan Agarwal,CE20240050,CE,6,94.3,19.5,28.8,72.8,5.1,7.66,Medium,61.05,1,C
Shruti Mishra,CE20240051,CE,1,73.6,9.5,66.1,44.4,21.9,6.73,High,44.96,1,D
Akash Pillai,CE20240052,CE,7,75.6,26.3,72.0,40.5,17.7,3.49,High,59.96,1,C
Siddharth Kumar,CE20240053,CE,4,60.9,22.6,99.6,12.4,21.3,4.32,Low,58.3,1,C
Karan Jain,EE20240054,EE,5,66.3,29.4,45.0,61.4,11.5,7.02,Low,55.19,1,C
Preeti Kapoor,ME20240055,ME,1,83.1,23.6,33.9,56.2,8.7,6.18,High,43.83,1,D
Arjun Yadav,CSE20240056,CSE,4,93.7,3.9,42.3,83.0,5.4,6.99,Low,51.63,1,C
Varun Pandey,CE20240057,CE,2,69.5,23.3,32.6,65.9,16.9,9.22,Low,58.97,1,C
Swati Rajput,ECE20240058,ECE,4,63.9,24.3,91.4,87.4,5.7,7.51,Medium,69.56,1,B
Arjun Thakur,CE20240059,CE,5,72.0,35.6,96.1,42.7,28.8,8.47,Low,83.48,1,A
Shruti Verma,ECE20240060,ECE,4,82.8,19.6,69.0,83.0,3.5,6.37,Low,58.19,1,C
Megha Patel,ECE20240061,ECE,3,46.0,48.1,88.9,46.4,16.2,4.75,High,63.44,1,C
Ankita Das,CE20240062,CE,8,30.7,5.1,64.9,75.1,26.5,6.1,None,39.63,0,F
Ankita Reddy,EE20240063,EE,5,62.1,43.7,59.9,25.9,18.8,4.75,None,59.96,1,C
Arjun Das,ECE20240064,ECE,8,50.0,25.3,54.7,63.2,15.4,9.0,Low,60.58,1,C
Rajat Agarwal,ECE20240065,ECE,6,62.9,38.3,55.2,14.3,6.3,7.62,Medium,53.93,1,C
Aarti Chopra,CE20240066,CE,8,69.3,29.0,27.9,52.1,2.9,7.14,None,55.69,1,C
Tushar Tiwari,ECE20240067,ECE,2,63.8,41.7,67.8,67.7,20.2,8.42,Low,74.44,1,B
Kavita Nair,ECE20240068,ECE,3,98.1,23.4,61.1,46.5,26.0,2.56,Medium,59.52,1,C
Sakshi Tiwari,CE20240069,CE,6,77.9,14.8,78.4,34.9,10.5,7.26,High,51.98,1,C
Nisha Verma,CE20240070,CE,4,77.4,45.0,64.1,76.6,4.9,3.84,Low,64.16,1,C
Ankita Singh,CSE20240071,CSE,5,83.2,26.6,58.4,55.7,0.0,6.19,High,47.19,1,D
Nisha Malhotra,EE20240072,EE,2,51.5,30.7,42.8,47.2,6.2,5.64,Low,50.84,1,C
Aman Chauhan,EE20240073,EE,3,90.7,42.8,63.6,58.9,13.1,7.39,Medium,73.91,1,B
Manish Chopra,ECE20240074,ECE,6,70.6,15.6,78.2,100.0,26.8,6.61,Low,66.71,1,B
Anjali Joshi,EE20240075,EE,6,84.1,35.1,36.8,83.4,19.4,8.62,None,72.7,1,B
Arjun Gupta,ECE20240076,ECE,2,52.7,20.9,63.9,83.6,16.4,5.12,Medium,58.32,1,C
Divya Sharma,CSE20240077,CSE,7,44.0,26.4,67.1,67.6,10.8,7.48,Low,56.07,1,C
Manish Patel,CE20240078,CE,4,86.7,28.9,46.2,61.7,9.3,6.49,None,60.28,1,C
Sakshi Srivastava,CE20240079,CE,2,78.8,10.0,49.1,5.3,25.2,3.26,Low,33.59,0,F
Harsh Kapoor,CE20240080,CE,6,55.8,18.7,67.1,43.1,15.6,4.55,Medium,46.35,1,D
Ankita Khanna,EE20240081,EE,1,56.3,44.2,37.1,47.4,0.0,5.93,Low,55.68,1,C
Manish Dubey,CSE20240082,CSE,3,92.3,38.6,69.7,16.8,8.6,8.2,None,61.51,1,C
Jyoti Mehta,EE20240083,EE,2,50.6,27.2,42.3,32.5,7.1,7.03,None,51.56,1,C
Sneha Reddy,EE20240084,EE,7,100.0,30.9,85.4,14.4,9.6,4.1,Low,56.18,1,C
Pankaj Mishra,CSE20240085,CSE,6,55.8,24.5,100.0,57.2,18.5,5.95,Low,62.12,1,C
Aarti Mehta,CSE20240086,CSE,4,83.5,44.3,43.1,76.0,13.1,9.83,Low,75.82,1,B
Arjun Yadav,CSE20240087,CSE,8,66.1,25.6,73.8,82.3,13.4,6.4,None,66.12,1,B
Pooja Tiwari,CSE20240088,CSE,6,82.9,30.8,46.0,67.1,24.5,5.61,Low,68.49,1,B
Simran Mehta,CE20240089,CE,4,62.2,41.8,84.9,36.8,8.4,7.09,Medium,69.3,1,B
Mohit Pillai,ME20240090,ME,2,69.1,18.7,34.2,15.5,28.9,7.57,Medium,40.17,1,D
Nisha Iyer,ME20240091,ME,4,72.7,46.7,72.6,19.3,8.6,5.38,High,70.87,1,B
Sonal Gupta,CSE20240092,CSE,5,54.0,9.6,42.8,30.1,14.7,7.1,None,48.5,1,D
Aarti Nair,ME20240093,ME,5,85.3,47.6,57.4,38.4,11.8,5.61,High,67.18,1,B
Varun Dubey,ME20240094,ME,5,62.8,23.5,39.3,54.5,15.0,7.49,Low,55.05,1,C
Rahul Pandey,CSE20240095,CSE,7,67.9,25.1,80.1,35.7,17.6,6.51,High,56.21,1,C
Ishita Dubey,ME20240096,ME,7,54.1,5.3,43.6,65.5,17.5,7.07,Low,35.57,0,F
Kunal Malhotra,EE20240097,EE,1,25.9,22.5,74.1,52.9,8.0,4.83,Low,41.53,1,D
Sakshi Jain,ECE20240098,ECE,7,68.6,15.5,54.4,58.2,5.0,4.72,Low,44.49,1,D
Varun Srivastava,ECE20240099,ECE,8,100.0,20.7,59.5,83.1,34.0,7.9,Low,70.82,1,B
Tushar Mehta,CSE20240100,CSE,2,86.1,26.4,65.3,32.0,10.1,6.06,High,54.84,1,C
Siddharth Kumar,CE20240101,CE,6,71.7,39.5,45.2,67.2,19.6,6.71,Medium,63.75,1,C
Neha Khanna,CSE20240102,CSE,6,67.3,30.5,66.6,57.7,1.1,5.65,High,59.05,1,C
Rahul Pillai,CE20240103,CE,1,72.4,31.7,95.7,50.7,11.8,7.82,Medium,64.62,1,C
Rajat Chauhan,ECE20240104,ECE,7,81.8,14.9,44.9,77.5,13.0,5.11,Low,56.3,1,C
Akash Gupta,CSE20240105,CSE,8,50.7,17.4,87.8,77.3,17.8,5.96,None,60.4,1,C
Jyoti Joshi,EE20240106,EE,4,92.1,49.6,95.0,37.2,0.0,7.61,High,89.37,1,A
Sonal Chopra,ME20240107,ME,1,84.9,19.2,44.0,54.0,15.3,8.31,Medium,64.7,1,C
Kavita Sharma,CE20240108,CE,8,84.9,47.9,30.0,64.2,4.8,5.26,Medium,66.87,1,B
Ishita Kapoor,ME20240109,ME,4,79.9,25.1,68.6,52.0,16.6,9.73,Low,62.76,1,C
Nisha Kapoor,ME20240110,ME,8,72.4,28.0,50.0,70.9,5.7,6.76,Medium,61.15,1,C
Jyoti Khanna,CSE20240111,CSE,4,84.1,40.8,100.0,64.2,7.2,4.32,High,74.76,1,B
Rohan Patel,ME20240112,ME,3,82.7,43.3,62.8,98.3,11.8,6.86,None,73.03,1,B
Megha Mehta,EE20240113,EE,8,65.6,26.7,44.4,24.3,5.6,5.51,Low,50.86,1,C
Sonal Malhotra,ME20240114,ME,6,61.7,23.3,36.8,55.3,10.2,6.98,None,43.83,1,D
Jyoti Agarwal,CSE20240115,CSE,5,73.8,27.3,86.0,38.0,4.5,6.12,Medium,57.59,1,C
Shruti Agarwal,EE20240116,EE,7,99.9,32.1,49.4,71.3,0.0,6.33,None,66.41,1,B
Rajat Joshi,ECE20240117,ECE,4,49.7,38.7,63.0,22.4,22.1,4.56,None,53.03,1,C
Vikram Agarwal,ME20240118,ME,3,45.6,28.1,83.0,65.6,3.6,7.98,Low,57.8,1,C
Tushar Rajput,CSE20240119,CSE,8,75.0,35.4,51.3,44.1,12.6,4.12,Medium,57.15,1,C
Pankaj Kumar,ECE20240120,ECE,6,72.9,47.7,61.0,41.8,20.0,4.2,Low,61.47,1,C
Ritu Srivastava,ECE20240121,ECE,5,75.1,32.6,61.6,26.2,9.1,6.86,None,62.92,1,C
Bhavna Nair,CE20240122,CE,4,76.4,31.7,77.0,47.8,7.4,9.09,High,63.24,1,C
Rohan Mehta,EE20240123,EE,8,68.0,9.8,75.0,81.9,15.8,5.57,High,58.93,1,C
Ankit Jain,ME20240124,ME,8,98.8,0.0,57.2,57.4,22.9,7.46,Low,56.43,1,C
Kunal Saxena,CSE20240125,CSE,4,43.2,32.7,63.4,71.8,4.6,8.13,Medium,55.37,1,C
Vivek Pillai,CE20240126,CE,1,57.1,26.9,53.8,94.6,12.8,7.67,Medium,63.7,1,C
Siddharth Chauhan,EE20240127,EE,1,70.1,21.8,29.5,63.8,0.1,5.64,Low,43.35,1,D
Nisha Chauhan,CE20240128,CE,6,42.4,30.9,67.7,45.7,10.9,4.24,Low,57.48,1,C
Pooja Nair,EE20240129,EE,5,68.8,27.3,100.0,68.3,14.3,2.23,Low,54.38,1,C
Gaurav Srivastava,EE20240130,EE,4,100.0,41.5,42.6,46.0,7.2,5.73,Low,61.67,1,C
Ishita Reddy,ME20240131,ME,6,72.4,29.0,45.0,46.9,10.3,8.32,Low,52.2,1,C
Aditya Pillai,EE20240132,EE,6,76.2,19.0,42.8,24.6,2.7,4.18,High,38.01,0,F
Simran Chopra,CE20240133,CE,2,49.3,39.9,77.9,78.4,14.6,7.46,Low,76.55,1,B
Pankaj Saxena,EE20240134,EE,8,60.9,25.4,71.9,49.5,22.4,4.49,Medium,59.64,1,C
Kavita Das,ME20240135,ME,7,65.2,34.3,58.5,62.0,5.2,6.39,None,59.85,1,C
Ishita Chopra,ME20240136,ME,8,66.3,22.3,41.8,35.2,9.0,7.47,Medium,47.63,1,D
Gaurav Dubey,CE20240137,CE,1,95.1,20.2,64.0,67.6,18.0,5.01,Low,65.91,1,B
Nisha Mishra,ECE20240138,ECE,5,82.0,29.0,27.6,41.2,23.7,6.51,Medium,54.29,1,C
Suresh Sharma,ECE20240139,ECE,8,52.0,28.2,65.2,54.9,2.1,5.45,Medium,56.68,1,C
Arjun Nair,EE20240140,EE,4,76.4,33.8,81.2,77.3,12.6,7.47,Medium,67.45,1,B
Kunal Mehta,CSE20240141,CSE,6,81.0,24.8,34.5,75.4,16.3,6.62,Low,56.37,1,C
Ankit Pillai,EE20240142,EE,4,92.5,6.0,28.3,57.5,13.2,6.3,Medium,52.41,1,C
Karan Pandey,CE20240143,CE,2,100.0,22.8,96.7,19.1,0.0,9.01,High,69.6,1,B
Simran Tiwari,CE20240144,CE,5,53.7,37.5,48.5,100.0,18.0,7.39,Medium,71.84,1,B
Megha Iyer,CE20240145,CE,6,57.4,24.4,87.0,96.4,26.2,4.96,None,59.93,1,C
Ankit Gupta,CE20240146,CE,4,49.4,25.0,58.6,73.9,14.9,6.05,Medium,54.32,1,C
Sakshi Pandey,CE20240147,CE,1,67.8,39.8,58.4,41.4,5.8,6.06,None,59.75,1,C
Gaurav Srivastava,ME20240148,ME,7,80.4,19.5,71.6,55.5,9.9,6.34,High,55.63,1,C
Simran Das,ECE20240149,ECE,2,89.8,9.5,42.6,46.0,28.2,10.0,Medium,66.4,1,B
Gaurav Srivastava,CE20240150,CE,5,70.6,26.1,64.9,85.8,21.3,6.87,Low,53.9,1,C
Shruti Thakur,CSE20240151,CSE,2,66.2,22.2,53.6,63.8,19.1,2.54,None,46.64,1,D
Harsh Agarwal,CSE20240152,CSE,1,74.7,16.4,32.9,40.7,16.9,5.22,Low,44.19,1,D
Amit Chopra,CSE20240153,CSE,5,57.0,25.9,69.4,47.6,8.7,2.72,High,36.94,0,F
Sneha Chauhan,CSE20240154,CSE,2,100.0,33.9,56.2,82.7,12.4,5.61,None,62.32,1,C
Rahul Rajput,ME20240155,ME,3,43.1,27.9,58.5,93.2,13.4,2.62,Low,56.23,1,C
Pankaj Das,CSE20240156,CSE,1,75.3,31.7,35.4,91.6,18.4,4.63,High,64.66,1,C
Amit Saxena,CE20240157,CE,1,100.0,49.8,97.0,74.7,26.1,3.46,Low,90.74,1,A
Rohan Joshi,EE20240158,EE,1,72.1,23.9,81.3,52.4,22.9,6.89,Low,70.71,1,B
Megha Chauhan,CSE20240159,CSE,3,68.6,31.3,83.2,0.0,2.6,6.2,Medium,55.47,1,C
Rajat Tiwari,ME20240160,ME,3,65.6,21.9,55.3,64.5,15.8,6.75,Low,58.18,1,C
Karan Chauhan,ME20240161,ME,4,68.8,17.8,24.0,58.0,19.9,6.01,None,49.28,1,D
Tushar Iyer,CSE20240162,CSE,6,96.7,21.0,100.0,61.1,19.0,3.69,None,51.01,1,C
Akash Kapoor,EE20240163,EE,7,32.2,22.3,60.7,59.2,9.0,7.12,Medium,43.03,1,D
Bhavna Malhotra,CSE20240164,CSE,2,99.6,32.3,45.5,28.8,37.3,9.66,High,74.53,1,B
Nikhil Mehta,ME20240165,ME,4,46.4,50.0,71.2,70.3,3.8,6.94,None,69.95,1,B
Amit Nair,ECE20240166,ECE,2,67.2,19.4,87.7,71.9,5.3,5.43,Low,58.5,1,C
Kavita Bhatia,CE20240167,CE,7,64.3,23.0,61.5,73.0,15.9,3.63,Low,49.99,1,D
Sonal Bhatia,ME20240168,ME,6,82.6,27.2,90.1,78.8,30.9,4.57,High,77.72,1,B
Sonal Patel,CSE20240169,CSE,3,43.2,32.7,85.8,71.3,7.3,7.02,Low,68.82,1,B
Ishita Patel,CE20240170,CE,6,80.3,31.2,38.3,49.0,11.9,8.13,High,67.61,1,B
Priya Gupta,CSE20240171,CSE,3,100.0,43.4,47.2,56.4,22.6,6.67,None,77.84,1,B
Sakshi Agarwal,CSE20240172,CSE,7,47.5,0.0,83.1,60.0,13.9,7.64,High,46.1,1,D
Sonal Saxena,ECE20240173,ECE,6,75.4,0.0,2.3,60.4,11.3,7.47,Medium,45.39,1,D
Vivek Verma,CE20240174,CE,4,60.1,22.0,58.7,80.0,18.5,7.11,Medium,61.34,1,C
Komal Pandey,CE20240175,CE,5,79.7,41.2,30.5,72.2,16.2,5.01,Low,66.57,1,B
Akash Patel,ECE20240176,ECE,4,72.3,9.2,51.5,100.0,22.2,6.51,Medium,60.43,1,C
Vivek Khanna,ME20240177,ME,2,60.5,0.0,55.4,100.0,24.3,4.67,None,47.88,1,D
Varun Malhotra,CSE20240178,CSE,4,80.8,34.9,54.1,59.8,16.5,6.23,None,59.86,1,C
Nisha Verma,EE20240179,EE,7,100.0,30.9,49.9,0.0,16.3,6.8,Low,57.3,1,C
Sakshi Das,CSE20240180,CSE,1,68.6,14.9,37.9,85.2,15.7,9.22,High,65.32,1,B
Komal Jain,CSE20240181,CSE,2,85.0,16.2,100.0,46.1,17.9,3.84,Medium,56.54,1,C
Karan Yadav,ME20240182,ME,6,48.7,16.4,100.0,40.4,14.4,7.07,Medium,59.17,1,C
Deepak Chopra,CSE20240183,CSE,2,54.8,29.3,36.4,49.2,14.0,8.87,Medium,60.44,1,C
Nikhil Mehta,ECE20240184,ECE,5,80.5,20.5,96.8,48.2,23.6,7.57,None,63.86,1,C
Rajat Gupta,ECE20240185,ECE,3,98.7,33.9,53.2,71.5,26.1,7.7,High,83.41,1,A
Vivek Kapoor,CE20240186,CE,6,78.4,0.0,64.8,23.7,1.9,7.26,Medium,40.04,1,D
Rahul Sharma,EE20240187,EE,8,66.4,17.7,60.6,34.3,14.1,8.54,Medium,61.75,1,C
Akash Patel,CSE20240188,CSE,2,72.0,14.5,47.5,65.5,8.5,4.24,Low,49.76,1,D
Mohit Joshi,CSE20240189,CSE,6,49.5,24.9,83.6,71.7,11.5,3.71,High,57.01,1,C
Rahul Dubey,ME20240190,ME,6,82.9,21.5,64.8,72.1,17.2,6.19,High,60.01,1,C
Pankaj Saxena,ECE20240191,ECE,6,87.9,37.6,51.5,40.7,19.4,2.31,Medium,59.58,1,C
Kunal Sharma,EE20240192,EE,3,63.9,5.7,33.3,36.5,13.1,8.42,Low,41.49,1,D
Sakshi Agarwal,CE20240193,CE,8,63.5,28.5,42.3,46.9,0.0,8.4,Medium,48.14,1,D
Suresh Singh,ECE20240194,ECE,7,76.8,34.7,25.9,63.3,6.3,5.42,Medium,56.21,1,C
Ritu Chopra,CE20240195,CE,4,64.1,50.0,62.3,90.7,21.2,5.53,Low,70.85,1,B
Ankita Patel,ME20240196,ME,6,70.8,22.2,35.7,13.0,0.0,6.07,Low,45.1,1,D
Deepak Khanna,ME20240197,ME,1,100.0,31.9,56.2,53.1,23.5,6.29,Low,74.69,1,B
Sakshi Das,CSE20240198,CSE,7,67.6,6.4,92.1,28.7,18.2,6.43,Medium,44.4,1,D
Nisha Dubey,EE20240199,EE,5,65.5,0.0,88.4,21.7,24.5,7.2,Low,55.6,1,C
Sonal Nair,CE20240200,CE,3,60.3,38.1,61.3,79.3,12.4,5.89,Low,63.99,1,C
Karan Dubey,ECE20240201,ECE,2,85.4,27.9,60.1,70.0,0.0,7.9,Medium,59.02,1,C
Manish Dubey,ME20240202,ME,3,68.7,42.1,100.0,67.9,17.4,7.0,Medium,80.11,1,A
Tanvi Chopra,CSE20240203,CSE,2,60.3,11.5,73.5,78.3,24.2,5.11,None,52.06,1,C
Aman Reddy,CSE20240204,CSE,3,95.8,34.2,54.8,47.4,21.4,8.6,Low,69.93,1,B
Tanvi Jain,CE20240205,CE,2,97.6,50.0,30.6,48.5,8.7,3.76,High,65.18,1,B
Shruti Srivastava,ME20240206,ME,6,61.2,33.0,70.7,100.0,14.7,6.03,Medium,64.48,1,C
Ishita Rajput,EE20240207,EE,4,38.4,31.3,80.2,52.6,9.7,7.94,Low,61.7,1,C
Kavita Agarwal,ME20240208,ME,2,90.1,28.1,48.1,74.2,7.4,4.9,High,61.18,1,C
Ishita Gupta,CE20240209,CE,8,59.7,9.1,68.4,58.1,21.6,6.76,None,43.82,1,D
Ankit Yadav,CE20240210,CE,2,86.2,44.3,54.0,17.3,4.4,7.18,High,67.71,1,B
Vikram Tiwari,ME20240211,ME,1,36.5,20.7,58.0,13.0,6.8,4.65,Low,31.45,0,F
Amit Kumar,CE20240212,CE,2,88.1,34.1,7.3,45.3,5.2,6.07,None,47.2,1,D
Karan Tiwari,ME20240213,ME,1,50.2,9.2,57.1,81.2,2.1,5.92,Low,51.25,1,C
Karan Bhatia,ECE20240214,ECE,5,85.2,13.8,83.3,75.3,15.2,5.21,Low,53.86,1,C
Priya Chopra,ME20240215,ME,6,72.3,45.2,48.1,78.1,23.3,10.0,Medium,66.73,1,B
Komal Bhatia,ME20240216,ME,1,54.8,23.8,63.2,36.3,12.5,4.83,Medium,52.77,1,C
Preeti Agarwal,CE20240217,CE,4,64.7,45.4,45.4,93.5,2.0,8.01,High,70.47,1,B
Nikhil Nair,CE20240218,CE,7,84.4,27.1,69.9,36.8,20.7,5.49,Low,59.26,1,C
Ankita Das,CSE20240219,CSE,6,73.9,5.9,57.2,62.7,27.5,4.24,Low,47.88,1,D
Vivek Mishra,CSE20240220,CSE,1,82.5,38.7,41.3,57.8,8.8,6.39,None,63.66,1,C
Aman Kapoor,ECE20240221,ECE,6,100.0,20.9,91.3,54.2,10.2,7.37,None,62.12,1,C
Rahul Tiwari,CSE20240222,CSE,8,43.8,36.4,82.4,87.4,18.1,7.86,Medium,77.63,1,B
Ishita Dubey,ME20240223,ME,6,100.0,28.3,48.7,42.5,27.0,9.01,None,60.71,1,C
Jyoti Chopra,CE20240224,CE,6,73.9,9.5,73.0,28.3,9.8,10.0,Medium,55.9,1,C
Amit Saxena,CSE20240225,CSE,5,55.8,30.0,73.8,58.4,3.3,6.65,Medium,61.5,1,C
Nisha Kumar,CSE20240226,CSE,4,48.1,50.0,76.1,49.2,19.1,5.01,None,61.91,1,C
Nikhil Chopra,ECE20240227,ECE,3,68.6,33.9,24.7,100.0,20.4,7.02,Medium,61.39,1,C
Aarti Verma,ECE20240228,ECE,3,88.6,27.3,84.1,72.9,14.0,5.72,None,72.09,1,B
Divya Das,ME20240229,ME,1,69.7,40.9,49.5,49.0,9.5,7.87,Low,58.89,1,C
Manish Yadav,CE20240230,CE,6,99.2,30.5,54.1,34.8,22.0,3.87,Medium,58.2,1,C
Vikram Gupta,ECE20240231,ECE,1,45.9,30.5,100.0,16.6,18.2,10.0,Low,66.41,1,B
Pooja Bhatia,CSE20240232,CSE,5,71.8,14.9,68.6,35.4,7.9,7.74,None,51.17,1,C
Ankit Joshi,CE20240233,CE,5,49.5,30.8,53.5,60.5,14.4,3.17,Medium,43.27,1,D
Tanvi Mishra,CE20240234,CE,2,78.5,40.4,13.5,89.4,3.2,4.92,None,68.25,1,B
Ankita Patel,CSE20240235,CSE,8,88.0,18.0,92.6,82.7,19.5,7.67,Medium,68.12,1,B
Aarti Singh,ECE20240236,ECE,5,64.4,45.1,32.4,63.0,11.9,8.32,Low,63.68,1,C
Kavita Mehta,CSE20240237,CSE,2,25.1,26.9,39.9,50.9,10.5,3.91,Low,42.36,1,D
Sakshi Mishra,CE20240238,CE,4,75.6,17.3,54.7,63.9,13.7,7.48,High,62.33,1,C
Rohan Srivastava,EE20240239,EE,1,79.9,40.0,93.2,46.6,14.3,2.69,Medium,75.87,1,B
Swati Jain,EE20240240,EE,7,79.3,24.6,79.0,95.8,21.2,6.04,None,60.44,1,C
Rashmi Joshi,ME20240241,ME,4,94.2,37.1,58.5,53.8,18.7,8.2,Low,75.84,1,B
Karan Reddy,CSE20240242,CSE,5,52.7,24.5,68.8,56.1,12.7,5.21,High,59.23,1,C
Rahul Joshi,CSE20240243,CSE,4,84.2,27.3,48.8,9.3,20.1,3.49,None,48.78,1,D
Pankaj Thakur,ME20240244,ME,4,93.5,33.9,65.1,53.7,17.2,6.46,Medium,72.9,1,B
Vivek Bhatia,ME20240245,ME,8,40.0,31.5,63.6,76.4,10.6,5.11,Medium,61.24,1,C
Harsh Pillai,ME20240246,ME,8,77.8,4.1,83.3,34.5,13.0,7.33,Medium,44.12,1,D
Amit Singh,CE20240247,CE,8,62.9,14.5,83.3,41.5,12.8,4.61,Medium,58.91,1,C
Vikram Das,CSE20240248,CSE,4,70.5,39.2,72.9,75.4,18.0,4.81,Medium,61.37,1,C
